year,Season,Location_district,Crop_nam,harvested,Productio,yields =production/Extent
2001.0,Maha,Hanbantota,Cabbage,0.0,0.0,0.0
2001.0,Maha,Hanbantota,Carrot,0.0,0.0,0.0
2001.0,Maha,Hanbantota,Tomatoes,197.0,1043.0,5.2944162436548226
2001.0,Maha,Jaffna,Beans,62.0,336.0,5.419354838709677
2001.0,Maha,Jaffna,Beetroot,47.0,370.0,7.872340425531915
2001.0,Maha,Jaffna,Cabbage,49.0,404.0,8.244897959183673
2001.0,Maha,Jaffna,Carrot,66.0,522.0,7.909090909090909
2001.0,Maha,Jaffna,Tomatoes,72.0,622.0,8.63888888888889
2001.0,Maha,Kaluthara,Beans,0.0,0.0,0.0
2001.0,Maha,Kaluthara,Beetroot,0.0,0.0,0.0
2001.0,Maha,Kaluthara,Cabbage,0.0,0.0,0.0
2001.0,Maha,Kaluthara,Carrot,0.0,0.0,0.0
2001.0,Maha,Kaluthara,Tomatoes,1.0,4.0,4.0
2001.0,Maha,Kandy,Beans,624.0,1505.0,2.4118589743589745
2001.0,Maha,Kandy,Beetroot,77.0,274.0,3.5584415584415585
2001.0,Maha,Kandy,Cabbage,507.0,2171.0,4.282051282051282
2001.0,Maha,Kandy,Carrot,105.0,298.0,2.8380952380952382
2001.0,Maha,Kandy,Tomatoes,598.0,2395.0,4.005016722408027
2001.0,Maha,Kegalle,Beans,23.0,96.0,4.173913043478261
2001.0,Maha,Kegalle,Beetroot,0.0,0.0,0.0
2001.0,Maha,Kegalle,Cabbage,1.0,4.0,4.0
2001.0,Maha,Kegalle,Carrot,0.0,0.0,0.0
2001.0,Maha,Kegalle,Tomatoes,24.0,99.0,4.125
2001.0,Maha,Kilinochchi,Beans,15.0,82.0,5.466666666666667
2001.0,Maha,Kilinochchi,Beetroot,4.0,25.0,6.25
2001.0,Maha,Kilinochchi,Cabbage,17.0,93.0,5.470588235294118
2001.0,Maha,Kilinochchi,Carrot,1.0,5.0,5.0
2001.0,Maha,Kilinochchi,Tomatoes,22.0,93.0,4.2272727272727275
2001.0,Maha,Kurunegala,Beans,4.0,9.0,2.25
2001.0,Maha,Kurunegala,Beetroot,121.0,831.0,6.867768595041323
2001.0,Maha,Kurunegala,Cabbage,0.0,0.0,0.0
2001.0,Maha,Kurunegala,Carrot,0.0,0.0,0.0
2001.0,Maha,Kurunegala,Tomatoes,127.0,821.0,6.464566929133858
2001.0,Maha,Mannar,Beans,2.0,9.0,4.5
2001.0,Maha,Mannar,Beetroot,8.0,67.0,8.375
2001.0,Maha,Mannar,Cabbage,8.0,89.0,11.125
2001.0,Maha,Mannar,Carrot,6.0,16.0,2.6666666666666665
2001.0,Maha,Mannar,Tomatoes,18.0,128.0,7.111111111111111
2001.0,Maha,Matale,Beans,935.0,3981.0,4.257754010695187
2001.0,Maha,Matale,Beetroot,209.0,1026.0,4.909090909090909
2001.0,Maha,Matale,Cabbage,233.0,2116.0,9.081545064377682
2001.0,Maha,Matale,Carrot,7.0,27.0,3.857142857142857
2001.0,Maha,Matale,Tomatoes,664.0,5597.0,8.42921686746988
2001.0,Maha,Matara,Beans,0.0,0.0,0.0
2001.0,Maha,Matara,Beetroot,0.0,0.0,0.0
2001.0,Maha,Matara,Cabbage,0.0,0.0,0.0
2001.0,Maha,Matara,Carrot,0.0,0.0,0.0
2001.0,Maha,Matara,Tomatoes,6.0,28.0,4.666666666666667
2001.0,Maha,Monaragala,Beans,32.0,129.0,4.03125
2001.0,Maha,Monaragala,Beetroot,0.0,0.0,0.0
2001.0,Maha,Monaragala,Cabbage,0.0,0.0,0.0
2001.0,Maha,Monaragala,Carrot,0.0,0.0,0.0
2001.0,Maha,Monaragala,Tomatoes,263.0,1528.0,5.809885931558935
2001.0,Maha,Mullativu,Beans,2.0,2.0,1.0
2001.0,Maha,Mullativu,Beetroot,1.0,1.0,1.0
2001.0,Maha,Mullativu,Cabbage,14.0,16.0,1.1428571428571428
2001.0,Maha,Mullativu,Carrot,0.0,0.0,0.0
2001.0,Maha,Mullativu,Tomatoes,30.0,201.0,6.7
2001.0,Maha,Nuwara Eliya,Beans,1351.0,5387.0,3.9874167283493707
2001.0,Maha,Nuwara Eliya,Beetroot,1031.0,11211.0,10.873908826382154
2001.0,Maha,Nuwara Eliya,Cabbage,1829.0,26692.0,14.593767085839257
2001.0,Maha,Nuwara Eliya,Carrot,1666.0,20231.0,12.143457382953182
2001.0,Maha,Nuwara Eliya,Tomatoes,831.0,8407.0,10.116726835138387
2001.0,Maha,Polonnaruwa,Beans,9.0,52.0,5.777777777777778
2001.0,Maha,Polonnaruwa,Beetroot,4.0,23.0,5.75
2001.0,Maha,Polonnaruwa,Cabbage,1.0,5.0,5.0
2001.0,Maha,Polonnaruwa,Carrot,0.0,0.0,0.0
2001.0,Maha,Polonnaruwa,Tomatoes,80.0,316.0,3.95
2001.0,Maha,Puttalam,Beans,0.0,0.0,0.0
2001.0,Maha,Puttalam,Beetroot,0.0,0.0,0.0
2001.0,Maha,Puttalam,Cabbage,2.0,7.0,3.5
2001.0,Maha,Puttalam,Carrot,0.0,0.0,0.0
2001.0,Maha,Puttalam,Tomatoes,29.0,114.0,3.9310344827586206
2001.0,Maha,Ratnapura,Beans,537.0,3320.0,6.182495344506518
2001.0,Maha,Ratnapura,Beetroot,23.0,199.0,8.652173913043478
2001.0,Maha,Ratnapura,Cabbage,40.0,266.0,6.65
2001.0,Maha,Ratnapura,Carrot,10.0,97.0,9.7
2001.0,Maha,Ratnapura,Tomatoes,449.0,2684.0,5.977728285077951
2001.0,Maha,Trincomalee,Beans,1.0,1.0,1.0
2001.0,Maha,Trincomalee,Beetroot,0.0,0.0,0.0
2001.0,Maha,Trincomalee,Cabbage,3.0,7.0,2.3333333333333335
2001.0,Maha,Trincomalee,Carrot,0.0,0.0,0.0
2001.0,Maha,Trincomalee,Tomatoes,57.0,624.0,10.947368421052632
2001.0,Maha,Vavuniya,Beans,0.0,0.0,0.0
2001.0,Maha,Vavuniya,Beetroot,10.0,82.0,8.2
2001.0,Maha,Vavuniya,Cabbage,20.0,109.0,5.45
2001.0,Maha,Vavuniya,Carrot,0.0,3.0,0.0
2001.0,Maha,Vavuniya,Tomatoes,23.0,126.0,5.478260869565218
2001.0,Yala,Ampara,Beans,0.0,1.0,0.0
2001.0,Yala,Ampara,Beetroot,0.0,0.0,0.0
2001.0,Yala,Ampara,Cabbage,1.0,4.0,4.0
2001.0,Yala,Ampara,Carrot,0.0,0.0,0.0
2001.0,Yala,Ampara,Tomatoes,74.0,704.0,9.513513513513514
2001.0,Yala,Anuradhapura,Beans,4.0,16.0,4.0
2001.0,Yala,Anuradhapura,Beetroot,4.0,15.0,3.75
2001.0,Yala,Anuradhapura,Cabbage,3.0,6.0,2.0
2001.0,Yala,Anuradhapura,Carrot,0.0,0.0,0.0
2001.0,Yala,Anuradhapura,Tomatoes,193.0,740.0,3.8341968911917097
2001.0,Yala,Badulla,Beans,1330.0,7231.0,5.436842105263158
2001.0,Yala,Badulla,Beetroot,163.0,1892.0,11.607361963190185
2001.0,Yala,Badulla,Cabbage,606.0,12232.0,20.184818481848186
2001.0,Yala,Badulla,Carrot,294.0,2836.0,9.646258503401361
2001.0,Yala,Badulla,Tomatoes,732.0,6689.0,9.137978142076502
2001.0,Yala,Batticaloa,Beans,0.0,0.0,0.0
2001.0,Yala,Batticaloa,Beetroot,0.0,0.0,0.0
2001.0,Yala,Batticaloa,Cabbage,0.0,0.0,0.0
2001.0,Yala,Batticaloa,Carrot,0.0,0.0,0.0
2001.0,Yala,Batticaloa,Tomatoes,79.0,433.0,5.481012658227848
2001.0,Yala,Colombo,Beans,0.0,0.0,0.0
2001.0,Yala,Colombo,Beetroot,0.0,0.0,0.0
2001.0,Yala,Colombo,Cabbage,0.0,0.0,0.0
2001.0,Yala,Colombo,Carrot,0.0,0.0,0.0
2001.0,Yala,Colombo,Tomatoes,1.0,1.0,1.0
2001.0,Yala,Galle,Beans,0.0,0.0,0.0
2001.0,Yala,Galle,Beetroot,0.0,0.0,0.0
2001.0,Yala,Galle,Cabbage,0.0,0.0,0.0
2001.0,Yala,Galle,Carrot,0.0,0.0,0.0
2001.0,Yala,Galle,Tomatoes,1.0,4.0,4.0
2001.0,Yala,Gampaha,Beans,0.0,0.0,0.0
2001.0,Yala,Gampaha,Beetroot,0.0,0.0,0.0
2001.0,Yala,Gampaha,Cabbage,0.0,0.0,0.0
2001.0,Yala,Gampaha,Carrot,0.0,0.0,0.0
2001.0,Yala,Gampaha,Tomatoes,0.0,0.0,0.0
2001.0,Yala,Hanbantota,Beans,0.0,0.0,0.0
2001.0,Yala,Hanbantota,Beetroot,0.0,0.0,0.0
2001.0,Yala,Hanbantota,Cabbage,0.0,0.0,0.0
2001.0,Yala,Hanbantota,Carrot,0.0,0.0,0.0
2001.0,Yala,Hanbantota,Tomatoes,179.0,948.0,5.29608938547486
2001.0,Yala,Jaffna,Beans,34.0,185.0,5.4411764705882355
2001.0,Yala,Jaffna,Beetroot,22.0,153.0,6.954545454545454
2001.0,Yala,Jaffna,Cabbage,30.0,237.0,7.9
2001.0,Yala,Jaffna,Carrot,30.0,201.0,6.7
2001.0,Yala,Jaffna,Tomatoes,34.0,260.0,7.647058823529412
2001.0,Yala,Kaluthara,Beans,0.0,0.0,0.0
2001.0,Yala,Kaluthara,Beetroot,0.0,0.0,0.0
2001.0,Yala,Kaluthara,Cabbage,0.0,0.0,0.0
2001.0,Yala,Kaluthara,Carrot,0.0,0.0,0.0
2001.0,Yala,Kaluthara,Tomatoes,1.0,4.0,4.0
2001.0,Yala,Kandy,Beans,278.0,721.0,2.593525179856115
2001.0,Yala,Kandy,Beetroot,38.0,86.0,2.263157894736842
2001.0,Yala,Kandy,Cabbage,265.0,858.0,3.237735849056604
2001.0,Yala,Kandy,Carrot,54.0,153.0,2.8333333333333335
2001.0,Yala,Kandy,Tomatoes,306.0,839.0,2.741830065359477
2001.0,Yala,Kegalle,Beans,15.0,63.0,4.2
2001.0,Yala,Kegalle,Beetroot,0.0,0.0,0.0
2001.0,Yala,Kegalle,Cabbage,0.0,0.0,0.0
2001.0,Yala,Kegalle,Carrot,0.0,0.0,0.0
2001.0,Yala,Kegalle,Tomatoes,12.0,59.0,4.916666666666667
2001.0,Yala,Kilinochchi,Beans,15.0,82.0,5.466666666666667
2001.0,Yala,Kilinochchi,Beetroot,2.0,14.0,7.0
2001.0,Yala,Kilinochchi,Cabbage,15.0,82.0,5.466666666666667
2001.0,Yala,Kilinochchi,Carrot,0.0,0.0,0.0
2001.0,Yala,Kilinochchi,Tomatoes,20.0,91.0,4.55
2001.0,Yala,Kurunegala,Beans,4.0,8.0,2.0
2001.0,Yala,Kurunegala,Beetroot,21.0,138.0,6.571428571428571
2001.0,Yala,Kurunegala,Cabbage,0.0,0.0,0.0
2001.0,Yala,Kurunegala,Carrot,0.0,0.0,0.0
2001.0,Yala,Kurunegala,Tomatoes,75.0,508.0,6.773333333333333
2001.0,Yala,Mannar,Beans,2.0,9.0,4.5
2001.0,Yala,Mannar,Beetroot,8.0,67.0,8.375
2001.0,Yala,Mannar,Cabbage,8.0,84.0,10.5
2001.0,Yala,Mannar,Carrot,6.0,16.0,2.6666666666666665
2001.0,Yala,Mannar,Tomatoes,14.0,95.0,6.785714285714286
2001.0,Yala,Matale,Beans,597.0,2686.0,4.499162479061977
2001.0,Yala,Matale,Beetroot,68.0,288.0,4.235294117647059
2001.0,Yala,Matale,Cabbage,91.0,829.0,9.10989010989011
2001.0,Yala,Matale,Carrot,3.0,12.0,4.0
2001.0,Yala,Matale,Tomatoes,191.0,1241.0,6.49738219895288
2001.0,Yala,Matara,Beans,0.0,0.0,0.0
2001.0,Yala,Matara,Beetroot,0.0,0.0,0.0
2001.0,Yala,Matara,Cabbage,0.0,0.0,0.0
2001.0,Yala,Matara,Carrot,0.0,0.0,0.0
2001.0,Yala,Matara,Tomatoes,3.0,12.0,4.0
2001.0,Yala,Monaragala,Beans,19.0,62.0,3.263157894736842
2001.0,Yala,Monaragala,Beetroot,0.0,0.0,0.0
2001.0,Yala,Monaragala,Cabbage,0.0,0.0,0.0
2001.0,Yala,Monaragala,Carrot,0.0,0.0,0.0
2001.0,Yala,Monaragala,Tomatoes,246.0,1406.0,5.715447154471545
2001.0,Yala,Mullativu,Beans,0.0,0.0,0.0
2001.0,Yala,Mullativu,Beetroot,0.0,0.0,0.0
2001.0,Yala,Mullativu,Cabbage,11.0,13.0,1.1818181818181819
2001.0,Yala,Mullativu,Carrot,0.0,0.0,0.0
2001.0,Yala,Mullativu,Tomatoes,30.0,201.0,6.7
2001.0,Yala,Nuwara Eliya,Beans,716.0,2763.0,3.8589385474860336
2001.0,Yala,Nuwara Eliya,Beetroot,636.0,6878.0,10.814465408805031
2001.0,Yala,Nuwara Eliya,Cabbage,995.0,17257.0,17.343718592964823
2001.0,Yala,Nuwara Eliya,Carrot,829.0,9211.0,11.110977080820266
2001.0,Yala,Nuwara Eliya,Tomatoes,346.0,3574.0,10.329479768786127
2001.0,Yala,Polonnaruwa,Beans,8.0,48.0,6.0
2001.0,Yala,Polonnaruwa,Beetroot,2.0,14.0,7.0
2001.0,Yala,Polonnaruwa,Cabbage,1.0,5.0,5.0
2001.0,Yala,Polonnaruwa,Carrot,0.0,0.0,0.0
2001.0,Yala,Polonnaruwa,Tomatoes,46.0,182.0,3.9565217391304346
2001.0,Yala,Puttalam,Beans,0.0,0.0,0.0
2001.0,Yala,Puttalam,Beetroot,0.0,0.0,0.0
2001.0,Yala,Puttalam,Cabbage,1.0,4.0,4.0
2001.0,Yala,Puttalam,Carrot,0.0,0.0,0.0
2001.0,Yala,Puttalam,Tomatoes,19.0,78.0,4.105263157894737
2001.0,Yala,Ratnapura,Beans,228.0,1652.0,7.245614035087719
2001.0,Yala,Ratnapura,Beetroot,10.0,97.0,9.7
2001.0,Yala,Ratnapura,Cabbage,13.0,89.0,6.846153846153846
2001.0,Yala,Ratnapura,Carrot,3.0,38.0,12.666666666666666
2001.0,Yala,Ratnapura,Tomatoes,255.0,1716.0,6.729411764705882
2001.0,Yala,Trincomalee,Beans,1.0,1.0,1.0
2001.0,Yala,Trincomalee,Beetroot,0.0,0.0,0.0
2001.0,Yala,Trincomalee,Cabbage,3.0,7.0,2.3333333333333335
2001.0,Yala,Trincomalee,Carrot,0.0,0.0,0.0
2001.0,Yala,Trincomalee,Tomatoes,40.0,439.0,10.975
2001.0,Yala,Vavuniya,Beans,0.0,0.0,0.0
2001.0,Yala,Vavuniya,Beetroot,4.0,15.0,3.75
2001.0,Yala,Vavuniya,Cabbage,15.0,102.0,6.8
2001.0,Yala,Vavuniya,Carrot,0.0,3.0,0.0
2001.0,Yala,Vavuniya,Tomatoes,18.0,104.0,5.777777777777778
2002.0,Maha,Ampara,Beans,1.0,3.0,3.0
2002.0,Maha,Ampara,Beetroot,0.0,0.0,0.0
2002.0,Maha,Ampara,Cabbage,1.0,4.0,4.0
2002.0,Maha,Ampara,Carrot,0.0,0.0,0.0
2002.0,Maha,Ampara,Tomatoes,84.0,807.0,9.607142857142858
2002.0,Maha,Anuradhapura,Beans,4.0,16.0,4.0
2002.0,Maha,Anuradhapura,Beetroot,42.0,178.0,4.238095238095238
2002.0,Maha,Anuradhapura,Cabbage,18.0,43.0,2.388888888888889
2002.0,Maha,Anuradhapura,Carrot,0.0,0.0,0.0
2002.0,Maha,Anuradhapura,Tomatoes,172.0,700.0,4.069767441860465
2002.0,Maha,Badulla,Beans,2639.0,15883.0,6.018567639257294
2002.0,Maha,Badulla,Beetroot,270.0,3016.0,11.170370370370371
2002.0,Maha,Badulla,Cabbage,1155.0,21740.0,18.82251082251082
2002.0,Maha,Badulla,Carrot,687.0,7263.0,10.572052401746724
2002.0,Maha,Badulla,Tomatoes,1330.0,13158.0,9.893233082706766
2002.0,Maha,Batticaloa,Beans,0.0,0.0,0.0
2002.0,Maha,Batticaloa,Beetroot,0.0,0.0,0.0
2002.0,Maha,Batticaloa,Cabbage,0.0,0.0,0.0
2002.0,Maha,Batticaloa,Carrot,0.0,0.0,0.0
2002.0,Maha,Batticaloa,Tomatoes,111.0,613.0,5.5225225225225225
2002.0,Maha,Colombo,Beans,0.0,0.0,0.0
2002.0,Maha,Colombo,Beetroot,0.0,0.0,0.0
2002.0,Maha,Colombo,Cabbage,0.0,0.0,0.0
2002.0,Maha,Colombo,Carrot,0.0,0.0,0.0
2002.0,Maha,Colombo,Tomatoes,0.0,1.0,0.0
2002.0,Maha,Galle,Beans,0.0,0.0,0.0
2002.0,Maha,Galle,Beetroot,0.0,0.0,0.0
2002.0,Maha,Galle,Cabbage,0.0,0.0,0.0
2002.0,Maha,Galle,Carrot,0.0,0.0,0.0
2002.0,Maha,Galle,Tomatoes,2.0,8.0,4.0
2002.0,Maha,Gampaha,Beans,0.0,0.0,0.0
2002.0,Maha,Gampaha,Beetroot,0.0,0.0,0.0
2002.0,Maha,Gampaha,Cabbage,0.0,0.0,0.0
2002.0,Maha,Gampaha,Carrot,0.0,0.0,0.0
2002.0,Maha,Gampaha,Tomatoes,3.0,6.0,2.0
2002.0,Maha,Hanbantota,Beans,0.0,0.0,0.0
2002.0,Maha,Hanbantota,Beetroot,0.0,0.0,0.0
2002.0,Maha,Hanbantota,Cabbage,0.0,0.0,0.0
2002.0,Maha,Hanbantota,Carrot,0.0,0.0,0.0
2002.0,Maha,Hanbantota,Tomatoes,302.0,1653.0,5.473509933774834
2002.0,Maha,Jaffna,Beans,63.0,350.0,5.555555555555555
2002.0,Maha,Jaffna,Beetroot,50.0,389.0,7.78
2002.0,Maha,Jaffna,Cabbage,54.0,452.0,8.37037037037037
2002.0,Maha,Jaffna,Carrot,75.0,584.0,7.786666666666667
2002.0,Maha,Jaffna,Tomatoes,78.0,663.0,8.5
2002.0,Maha,Kaluthara,Beans,0.0,0.0,0.0
2002.0,Maha,Kaluthara,Beetroot,0.0,0.0,0.0
2002.0,Maha,Kaluthara,Cabbage,0.0,0.0,0.0
2002.0,Maha,Kaluthara,Carrot,0.0,0.0,0.0
2002.0,Maha,Kaluthara,Tomatoes,2.0,8.0,4.0
2002.0,Maha,Kandy,Beans,670.0,1639.0,2.446268656716418
2002.0,Maha,Kandy,Beetroot,81.0,286.0,3.5308641975308643
2002.0,Maha,Kandy,Cabbage,479.0,2131.0,4.448851774530271
2002.0,Maha,Kandy,Carrot,108.0,303.0,2.8055555555555554
2002.0,Maha,Kandy,Tomatoes,516.0,2245.0,4.35077519379845
2002.0,Maha,Kegalle,Beans,19.0,66.0,3.473684210526316
2002.0,Maha,Kegalle,Beetroot,0.0,0.0,0.0
2002.0,Maha,Kegalle,Cabbage,0.0,0.0,0.0
2002.0,Maha,Kegalle,Carrot,0.0,0.0,0.0
2002.0,Maha,Kegalle,Tomatoes,23.0,95.0,4.130434782608695
2002.0,Maha,Kilinochchi,Beans,15.0,82.0,5.466666666666667
2002.0,Maha,Kilinochchi,Beetroot,4.0,25.0,6.25
2002.0,Maha,Kilinochchi,Cabbage,17.0,93.0,5.470588235294118
2002.0,Maha,Kilinochchi,Carrot,1.0,5.0,5.0
2002.0,Maha,Kilinochchi,Tomatoes,22.0,93.0,4.2272727272727275
2002.0,Maha,Kurunegala,Beans,5.0,10.0,2.0
2002.0,Maha,Kurunegala,Beetroot,121.0,839.0,6.933884297520661
2002.0,Maha,Kurunegala,Cabbage,0.0,0.0,0.0
2002.0,Maha,Kurunegala,Carrot,0.0,0.0,0.0
2002.0,Maha,Kurunegala,Tomatoes,121.0,778.0,6.429752066115703
2002.0,Maha,Mannar,Beans,3.0,15.0,5.0
2002.0,Maha,Mannar,Beetroot,4.0,31.0,7.75
2002.0,Maha,Mannar,Cabbage,6.0,60.0,10.0
2002.0,Maha,Mannar,Carrot,1.0,2.0,2.0
2002.0,Maha,Mannar,Tomatoes,28.0,210.0,7.5
2002.0,Maha,Matale,Beans,1017.0,4900.0,4.818092428711898
2002.0,Maha,Matale,Beetroot,230.0,1142.0,4.965217391304348
2002.0,Maha,Matale,Cabbage,253.0,2277.0,9.0
2002.0,Maha,Matale,Carrot,5.0,18.0,3.6
2002.0,Maha,Matale,Tomatoes,821.0,6845.0,8.337393422655298
2002.0,Maha,Matara,Beans,0.0,0.0,0.0
2002.0,Maha,Matara,Beetroot,0.0,0.0,0.0
2002.0,Maha,Matara,Cabbage,0.0,0.0,0.0
2002.0,Maha,Matara,Carrot,0.0,0.0,0.0
2002.0,Maha,Matara,Tomatoes,7.0,30.0,4.285714285714286
2002.0,Maha,Monaragala,Beans,23.0,89.0,3.869565217391304
2002.0,Maha,Monaragala,Beetroot,0.0,0.0,0.0
2002.0,Maha,Monaragala,Cabbage,0.0,0.0,0.0
2002.0,Maha,Monaragala,Carrot,0.0,0.0,0.0
2002.0,Maha,Monaragala,Tomatoes,411.0,2687.0,6.537712895377129
2002.0,Maha,Mullativu,Beans,2.0,2.0,1.0
2002.0,Maha,Mullativu,Beetroot,1.0,1.0,1.0
2002.0,Maha,Mullativu,Cabbage,14.0,16.0,1.1428571428571428
2002.0,Maha,Mullativu,Carrot,0.0,0.0,0.0
2002.0,Maha,Mullativu,Tomatoes,30.0,201.0,6.7
2002.0,Maha,Nuwara Eliya,Beans,1425.0,5507.0,3.864561403508772
2002.0,Maha,Nuwara Eliya,Beetroot,930.0,10131.0,10.893548387096773
2002.0,Maha,Nuwara Eliya,Cabbage,1533.0,22008.0,14.356164383561644
2002.0,Maha,Nuwara Eliya,Carrot,1651.0,19844.0,12.01938219261054
2002.0,Maha,Nuwara Eliya,Tomatoes,651.0,6366.0,9.778801843317972
2002.0,Maha,Polonnaruwa,Beans,3.0,16.0,5.333333333333333
2002.0,Maha,Polonnaruwa,Beetroot,3.0,17.0,5.666666666666667
2002.0,Maha,Polonnaruwa,Cabbage,1.0,5.0,5.0
2002.0,Maha,Polonnaruwa,Carrot,0.0,0.0,0.0
2002.0,Maha,Polonnaruwa,Tomatoes,92.0,364.0,3.9565217391304346
2002.0,Maha,Puttalam,Beans,11.0,37.0,3.3636363636363638
2002.0,Maha,Puttalam,Beetroot,0.0,0.0,0.0
2002.0,Maha,Puttalam,Cabbage,2.0,8.0,4.0
2002.0,Maha,Puttalam,Carrot,0.0,0.0,0.0
2002.0,Maha,Puttalam,Tomatoes,28.0,89.0,3.1785714285714284
2002.0,Maha,Ratnapura,Beans,618.0,3862.0,6.249190938511327
2002.0,Maha,Ratnapura,Beetroot,25.0,218.0,8.72
2002.0,Maha,Ratnapura,Cabbage,47.0,311.0,6.617021276595745
2002.0,Maha,Ratnapura,Carrot,15.0,138.0,9.2
2002.0,Maha,Ratnapura,Tomatoes,449.0,2608.0,5.8084632516703785
2002.0,Maha,Trincomalee,Beans,1.0,2.0,2.0
2002.0,Maha,Trincomalee,Beetroot,0.0,0.0,0.0
2002.0,Maha,Trincomalee,Cabbage,6.0,13.0,2.1666666666666665
2002.0,Maha,Trincomalee,Carrot,0.0,0.0,0.0
2002.0,Maha,Trincomalee,Tomatoes,55.0,598.0,10.872727272727273
2002.0,Maha,Vavuniya,Beans,0.0,0.0,0.0
2002.0,Maha,Vavuniya,Beetroot,8.0,77.0,9.625
2002.0,Maha,Vavuniya,Cabbage,17.0,78.0,4.588235294117647
2002.0,Maha,Vavuniya,Carrot,0.0,3.0,0.0
2002.0,Maha,Vavuniya,Tomatoes,27.0,146.0,5.407407407407407
2002.0,Yala,Ampara,Beans,1.0,2.0,2.0
2002.0,Yala,Ampara,Beetroot,0.0,0.0,0.0
2002.0,Yala,Ampara,Cabbage,1.0,4.0,4.0
2002.0,Yala,Ampara,Carrot,0.0,0.0,0.0
2002.0,Yala,Ampara,Tomatoes,65.0,619.0,9.523076923076923
2002.0,Yala,Anuradhapura,Beans,4.0,16.0,4.0
2002.0,Yala,Anuradhapura,Beetroot,12.0,49.0,4.083333333333333
2002.0,Yala,Anuradhapura,Cabbage,17.0,37.0,2.176470588235294
2002.0,Yala,Anuradhapura,Carrot,0.0,0.0,0.0
2002.0,Yala,Anuradhapura,Tomatoes,147.0,565.0,3.8435374149659864
2002.0,Yala,Badulla,Beans,1323.0,7797.0,5.893424036281179
2002.0,Yala,Badulla,Beetroot,132.0,1469.0,11.128787878787879
2002.0,Yala,Badulla,Cabbage,607.0,12529.0,20.640856672158154
2002.0,Yala,Badulla,Carrot,280.0,2796.0,9.985714285714286
2002.0,Yala,Badulla,Tomatoes,726.0,7219.0,9.943526170798899
2002.0,Yala,Batticaloa,Beans,0.0,0.0,0.0
2002.0,Yala,Batticaloa,Beetroot,0.0,0.0,0.0
2002.0,Yala,Batticaloa,Cabbage,0.0,0.0,0.0
2002.0,Yala,Batticaloa,Carrot,0.0,0.0,0.0
2002.0,Yala,Batticaloa,Tomatoes,76.0,391.0,5.144736842105263
2002.0,Yala,Colombo,Beans,0.0,0.0,0.0
2002.0,Yala,Colombo,Beetroot,0.0,0.0,0.0
2002.0,Yala,Colombo,Cabbage,0.0,0.0,0.0
2002.0,Yala,Colombo,Carrot,0.0,0.0,0.0
2002.0,Yala,Colombo,Tomatoes,0.0,0.0,0.0
2002.0,Yala,Galle,Beans,0.0,0.0,0.0
2002.0,Yala,Galle,Beetroot,0.0,0.0,0.0
